18|20|4/13/2007|160.0000|12.0000|6.2500|178.2500
23|694|4/13/2007|62.5000|4.6900|3.7500|70.9400
26|35|4/13/2007|45.0000|3.3800|3.7500|52.1300
27|11|4/13/2007|62.5000|4.6900|3.7500|70.9400
28|12|4/13/2007|62.5000|4.6900|3.7500|70.9400
29|13|4/13/2007|62.5000|4.6900|3.7500|70.9400
30|15|4/13/2007|62.5000|4.6900|3.7500|70.9400
31|11|4/13/2007|62.5000|4.6900|3.7500|70.9400
32|40|4/13/2007|115.0000|8.6250|5.0000|128.6250
33|33|4/13/2007|177.5000|13.3125|6.2500|197.0625
34|32|4/13/2007|62.5000|4.6900|3.7500|70.9400
35|222|4/13/2007|62.5000|4.6900|3.7500|70.9400
36|333|4/13/2007|62.5000|4.6900|3.7500|70.9400
37|32|4/13/2007|62.5000|4.6900|3.7500|70.9400
38|33|4/13/2007|62.5000|4.6900|3.7500|70.9400
39|432|4/13/2007|62.5000|4.6900|3.7500|70.9400
40|55|4/13/2007|62.5000|4.6900|3.7500|70.9400
41|333|4/13/2007|62.5000|4.6900|3.7500|70.9400
42|666|4/13/2007|62.5000|4.6900|3.7500|70.9400
43|332|4/13/2007|52.5000|3.9375|3.7500|60.1875
44|555|4/13/2007|62.5000|4.6900|3.7500|70.9400
45|213|4/13/2007|62.5000|4.6900|3.7500|70.9400
46|20|4/13/2007|212.5000|15.9375|7.5000|235.9375
48|25|4/14/2007|62.5000|4.6900|3.7500|70.9400
49|694|4/14/2007|107.5000|8.0600|5.0000|120.5600
50|20|4/14/2007|62.5000|4.6900|3.7500|70.9400
57|88|4/14/2007|62.5000|4.6900|3.7500|70.9400
59|50|4/19/2007|625.0000|46.8800|15.0000|686.8800
60|15|4/19/2007|62.5000|4.6900|3.7500|70.9400
62|15|4/19/2007|62.5000|4.6900|3.7500|70.9400
69|11|4/26/2007|45.0000|3.3800|3.7500|52.1300
102|408|5/9/2007|157.5000|11.8125|6.2500|175.5625
108|495|5/30/2007|49.5000|3.7100|3.7500|56.9600
110|470|5/31/2007|105.0000|7.8750|5.0000|117.8750
114|495|7/26/2007|105.0000|7.8800|5.0000|117.8800
115|200|7/26/2007|52.5000|3.9400|3.7500|60.1900
116|326|7/26/2007|52.5000|3.9400|3.7500|60.1900
117|601|8/7/2007|102.0000|7.6500|5.0000|114.6500
